Cód.,Bairro,Município,Estado
3201308001,Cruzeiro do Sul,Cariacica,ES
3201308002,Vasco da Gama,Cariacica,ES
3201308003,São Francisco,Cariacica,ES
3201308004,Vila Palestina,Cariacica,ES
3201308005,Rosa da Penha,Cariacica,ES
3201308006,Itapemirim,Cariacica,ES
3201308007,Jardim Botanico,Cariacica,ES
3201308008,Santa Barbara,Cariacica,ES
3201308009,Morada de Santa Fé,Cariacica,ES
3201308010,Santa Paula,Cariacica,ES
3201308011,Santa Catarina,Cariacica,ES
3201308012,Vista Linda,Cariacica,ES
3201308013,Vila Isabel,Cariacica,ES
3201308014,Bandeirantes,Cariacica,ES
3201308015,Caçaroca,Cariacica,ES
3201308016,Alzira Ramos,Cariacica,ES
3201308017,Jardim de Alah,Cariacica,ES
3201308018,Padre Gabriel,Cariacica,ES
3201308019,Jardim Campo Grande,Cariacica,ES
3201308020,Campo Belo,Cariacica,ES
3201308021,São Benedito,Cariacica,ES
3201308022,Castelo Branco,Cariacica,ES
3201308023,Vista Mar,Cariacica,ES
3201308024,Sotelandia,Cariacica,ES
3201308025,Bela Aurora,Cariacica,ES
3201308026,Maracanã,Cariacica,ES
3201308027,Boa Sorte,Cariacica,ES
3201308028,São Conrado,Cariacica,ES
3201308029,Vera Cruz,Cariacica,ES
3201308030,Jardim América,Cariacica,ES
3201308031,Chácaras União,Cariacica,ES
3201308032,São Geraldo,Cariacica,ES
3201308033,Parque Gramado,Cariacica,ES
3201308034,Rio Marinho,Cariacica,ES
3201308035,Área Não Identificada 2/2,Cariacica,ES
3201308036,Área Não Identificada 1/2,Cariacica,ES
3201308037,Alice Coutinho,Cariacica,ES
3201308038,Antônio Ferreira Borges,Cariacica,ES
3201308039,Cariacica Sede,Cariacica,ES
3201308040,Prolar,Cariacica,ES
3201308041,Vila Merlo,Cariacica,ES
3201308042,Porto de Cariacica,Cariacica,ES
3201308043,Santa Luzia,Cariacica,ES
3201308044,São João Batista,Cariacica,ES
3201308045,Tucum,Cariacica,ES
3201308046,Itaciba,Cariacica,ES
3201308047,Nova Brasília,Cariacica,ES
3201308048,Oriente,Cariacica,ES
3201308049,Alto Lage,Cariacica,ES
3201308050,Expedito,Cariacica,ES
3201308051,Sotema,Cariacica,ES
3201308052,Alto da Boa Vista,Cariacica,ES
3201308053,Itaquari,Cariacica,ES
3201308054,Rio Branco,Cariacica,ES
3201308055,Itangua,Cariacica,ES
3201308056,Dom Bosco,Cariacica,ES
3201308057,Santa Cecilia,Cariacica,ES
3201308058,Vila Cajueiro,Cariacica,ES
3201308059,Pica Pau,Cariacica,ES
3201308060,Porto das Pedras,Cariacica,ES
3201308061,Nova Rosa da Penha,Cariacica,ES
3201308062,Porto Engenho,Cariacica,ES
3201308063,Nova Canaa,Cariacica,ES
3201308064,Porto Novo,Cariacica,ES
3201308065,Presidente Medice,Cariacica,ES
3201308066,Flexal I,Cariacica,ES
3201308067,Retiro Saudoso,Cariacica,ES
3201308068,Grauna,Cariacica,ES
3201308069,Aparecida,Cariacica,ES
3201308070,Porto Santana,Cariacica,ES
3201308071,Nova Valverde,Cariacica,ES
3201308072,Bubú,Cariacica,ES
3201308073,Campo Verde,Cariacica,ES
3201308074,Vila Prudêncio,Cariacica,ES
3201308075,Cangaíba,Cariacica,ES
3201308076,Planeta,Cariacica,ES
3201308077,Santana,Cariacica,ES
3201308078,Tabajara,Cariacica,ES
3201308079,Santo Antônio,Cariacica,ES
3201308080,Novo Horizonte,Cariacica,ES
3201308081,São Gonçalo,Cariacica,ES
3201308082,Piranema,Cariacica,ES
3201308083,Vila dos Reis,Cariacica,ES
3201308084,Novo Brasil,Cariacica,ES
3201308085,Nova Campo Grande,Cariacica,ES
3201308086,Vista Dourada,Cariacica,ES
3201308087,Mucuri,Cariacica,ES
3201308088,Vila Independência,Cariacica,ES
3201308089,Flexal II,Cariacica,ES
3201308090,Serra do Anil,Cariacica,ES
3201308091,Nova Esperança,Cariacica,ES
3201308092,Operário,Cariacica,ES
3201308093,Vila Capixaba,Cariacica,ES
3201308094,Campo Grande,Cariacica,ES
3201308095,Vila Esperança,Cariacica,ES
3201308096,Campina Grande,Cariacica,ES
3201308097,Santo André,Cariacica,ES
3201308098,Formate,Cariacica,ES
3201308099,Tiradentes,Cariacica,ES
3201308100,São Geraldo II,Cariacica,ES
3205002001,Parque das Gaivotas,Serra,ES
3205002002,Praiamar,Serra,ES
3205002003,Parque Nova Fé,Serra,ES
3205002004,Serramar,Serra,ES
3205002005,Reis Magos,Serra,ES
3205002006,Nova Almeida Centro,Serra,ES
3205002007,Boa Vista (Nova Almeida),Serra,ES
3205002008,São João,Serra,ES
3205002009,Bairro Novo,Serra,ES
3205002010,Marbela,Serra,ES
3205002011,Costabela,Serra,ES
3205002012,Praia de Capuaba,Serra,ES
3205002013,Enseada de Jacaraípe,Serra,ES
3205002014,São Francisco,Serra,ES
3205002015,Bairro das Laranjeiras,Serra,ES
3205002016,Lagoa Jacaraípe,Serra,ES
3205002017,Residencial Jacaraípe,Serra,ES
3205002018,Costa Dourada,Serra,ES
3205002019,Jardim Atlântico,Serra,ES
3205002020,Belvedere,Serra,ES
3205002021,Estância Monazítica,Serra,ES
3205002022,São Patrício,Serra,ES
3205002023,Parque Jacaraípe,Serra,ES
3205002024,São Pedro,Serra,ES
3205002025,Castelândia,Serra,ES
3205002026,Conjunto Jacaraípe,Serra,ES
3205002027,Valparaíso,Serra,ES
3205002028,Portal de Jacaraípe,Serra,ES
3205002029,Centro Industrial do Município,Serra,ES
3205002030,Sítio Irema,Serra,ES
3205002031,Feu Rosa,Serra,ES
3205002032,Condomínio Ecológico Parque da Lagoa,Serra,ES
3205002033,Vila Nova de Colares,Serra,ES
3205002034,Ourimar,Serra,ES
3205002035,Manguinhos,Serra,ES
3205002036,Parque Residencial Laranjeiras,Serra,ES
3205002037,Camará,Serra,ES
3205002038,Morada de Laranjeiras,Serra,ES
3205002039,Nova Zelândia,Serra,ES
3205002040,Guaraciaba,Serra,ES
3205002041,Civit II,Serra,ES
