Cód.,Município,Bairro,COMÉRCIO VAREJISTA_47,ALIMENTAÇÃO_56,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS_96,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO_43,TRANSPORTE TERRESTRE_49,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS_82",COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS_45,PUBLICIDADE E PESQUISA DE MERCADO_73,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS_95,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS_10,EDUCAÇÃO_85,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS_14,"MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS_33",CORREIO E OUTRAS ATIVIDADES DE ENTREGA_53,ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES_52,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS_46","FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS_25",FABRICAÇÃO DE PRODUTOS DIVERSOS_32,SERVIÇOS DOMÉSTICOS_97,FABRICAÇÃO DE MÓVEIS_31,ALUGUÉIS NÃO IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS_77,"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA_69","OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS_74",ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA_86,CONSTRUÇÃO DE EDIFÍCIOS_41,FABRICAÇÃO DE PRODUTOS TÊXTEIS_13,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS_01",SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS_81,"ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE_66",ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER_93,TELECOMUNICAÇÕES_61,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS_15",IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES_18,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS_23,FABRICAÇÃO DE PRODUTOS DE MADEIRA_16,FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO_22,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL_17",EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO_58,ATIVIDADES IMOBILIÁRIAS_68,ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO_62,"ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO_80","ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA_59","ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS_90",ATIVIDADES VETERINÁRIAS_75,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL_70,"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS_38",SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS_71,FABRICAÇÃO DE PRODUTOS QUÍMICOS_20,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS_27",FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS_28,"AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS_79",OBRAS DE INFRAESTRUTURA_42,ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO_63,"ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES_87",TRANSPORTE AQUAVIÁRIO_50,"SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO DE OBRA_78","FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS_19",EXTRAÇÃO DE MINERAIS NÃO METÁLICOS_08,ATIVIDADES DE SERVIÇOS FINANCEIROS_64,ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS_09,METALURGIA_24,ESGOTO E ATIVIDADES RELACIONADAS_37,PRODUÇÃO FLORESTAL_02,PESCA E AQÜICULTURA_03,"FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS_29",ALOJAMENTO_55,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS_94,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA_36",ATIVIDADES DE RÁDIO E DE TELEVISÃO_60,SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO_88,FABRICAÇÃO DE BEBIDAS_11,ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL_91,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE_65",PESQUISA E DESENVOLVIMENTO CIENTÍFICO_72,"FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES_30","FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS_26","ELETRICIDADE, GÁS E OUTRAS UTILIDADES_35",FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS_21,FABRICAÇÃO DE PRODUTOS DO FUMO_12,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL_84",TRANSPORTE AÉREO_51,DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS_39
3201308037,CARIACICA,ALICE COUTINHO,20.0,1.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308049,CARIACICA,ALTO LAGE,128.0,61.0,29.0,37.0,33.0,22.0,45.0,26.0,12.0,6.0,15.0,5.0,5.0,5.0,4.0,11.0,11.0,6.0,11.0,2.0,7.0,1.0,7.0,6.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,4.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308016,CARIACICA,ALZIRA RAMOS,33.0,12.0,9.0,41.0,2.0,2.0,4.0,4.0,6.0,5.0,1.0,6.0,5.0,5.0,1.0,2.0,8.0,3.0,4.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308038,CARIACICA,ANTÔNIO FERREIRA BORGES,32.0,12.0,16.0,17.0,4.0,3.0,6.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308069,CARIACICA,APARECIDA,75.0,40.0,26.0,80.0,14.0,7.0,11.0,13.0,10.0,5.0,4.0,9.0,4.0,2.0,2.0,1.0,6.0,2.0,9.0,6.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308014,CARIACICA,BANDEIRANTES,197.0,53.0,58.0,101.0,45.0,12.0,29.0,20.0,15.0,11.0,7.0,28.0,15.0,18.0,8.0,3.0,6.0,5.0,9.0,8.0,9.0,0.0,2.0,0.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308025,CARIACICA,BELA AURORA,347.0,98.0,92.0,94.0,40.0,39.0,62.0,42.0,27.0,17.0,17.0,21.0,11.0,23.0,10.0,20.0,19.0,13.0,7.0,8.0,9.0,5.0,5.0,4.0,6.0,6.0,2.0,4.0,0.0,8.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308027,CARIACICA,BOA SORTE,146.0,62.0,44.0,79.0,32.0,20.0,22.0,28.0,18.0,10.0,16.0,16.0,7.0,12.0,2.0,5.0,15.0,4.0,5.0,12.0,3.0,1.0,4.0,0.0,7.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308072,CARIACICA,BUBÚ,28.0,14.0,20.0,3.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,6.0,1.0,1.0,5.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308096,CARIACICA,CAMPINA GRANDE,106.0,46.0,25.0,60.0,24.0,13.0,26.0,15.0,3.0,8.0,4.0,14.0,6.0,9.0,4.0,1.0,16.0,6.0,9.0,12.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308020,CARIACICA,CAMPO BELO,33.0,14.0,10.0,14.0,4.0,0.0,4.0,5.0,3.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308094,CARIACICA,CAMPO GRANDE,1442.0,309.0,345.0,133.0,118.0,152.0,135.0,96.0,99.0,47.0,127.0,61.0,32.0,40.0,37.0,71.0,23.0,49.0,11.0,9.0,26.0,38.0,44.0,85.0,25.0,17.0,3.0,13.0,12.0,23.0,9.0,4.0,18.0,5.0,4.0,2.0,4.0,16.0,27.0,9.0,3.0,6.0,13.0,3.0,8.0,4.0,12.0,1.0,1.0,1.0,8.0,5.0,9.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201308073,CARIACICA,CAMPO VERDE,95.0,43.0,45.0,44.0,36.0,11.0,13.0,16.0,12.0,5.0,5.0,7.0,9.0,5.0,9.0,2.0,2.0,8.0,8.0,11.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
