Cód.,Município,Bairro,pred
3201308001,CARIACICA,CRUZEIRO DO SUL,0
3201308002,CARIACICA,VASCO DA GAMA,2
3201308003,CARIACICA,SÃO FRANCISCO,0
3201308004,CARIACICA,VILA PALESTINA,2
3201308005,CARIACICA,ROSA DA PENHA,2
3201308006,CARIACICA,ITAPEMIRIM,2
3201308007,CARIACICA,JARDIM BOTANICO,0
3201308008,CARIACICA,SANTA BARBARA,2
3201308009,CARIACICA,MORADA DE SANTA FÉ,0
3201308010,CARIACICA,SANTA PAULA,2
3201308011,CARIACICA,SANTA CATARINA,2
3201308012,CARIACICA,VISTA LINDA,2
3201308013,CARIACICA,VILA ISABEL,2
3201308014,CARIACICA,BANDEIRANTES,2
3201308015,CARIACICA,CAÇAROCA,2
3201308016,CARIACICA,ALZIRA RAMOS,2
3201308017,CARIACICA,JARDIM DE ALAH,2
3201308018,CARIACICA,PADRE GABRIEL,2
3201308019,CARIACICA,JARDIM CAMPO GRANDE,2
3201308020,CARIACICA,CAMPO BELO,2
3201308021,CARIACICA,SÃO BENEDITO,2
3201308022,CARIACICA,CASTELO BRANCO,0
3201308023,CARIACICA,VISTA MAR,2
3201308024,CARIACICA,SOTELANDIA,2
3201308025,CARIACICA,BELA AURORA,0
3201308026,CARIACICA,MARACANÃ,2
3201308027,CARIACICA,BOA SORTE,2
3201308028,CARIACICA,SÃO CONRADO,2
3201308029,CARIACICA,VERA CRUZ,2
3201308030,CARIACICA,JARDIM AMÉRICA,0
3201308031,CARIACICA,CHÁCARAS UNIÃO,2
3201308032,CARIACICA,SÃO GERALDO,2
3201308033,CARIACICA,PARQUE GRAMADO,2
3201308034,CARIACICA,RIO MARINHO,2
3201308037,CARIACICA,ALICE COUTINHO,2
3201308038,CARIACICA,ANTÔNIO FERREIRA BORGES,2
3201308039,CARIACICA,CARIACICA SEDE,0
3201308040,CARIACICA,PROLAR,2
3201308041,CARIACICA,VILA MERLO,2
3201308042,CARIACICA,PORTO DE CARIACICA,2
3201308043,CARIACICA,SANTA LUZIA,2
3201308044,CARIACICA,SÃO JOÃO BATISTA,2
3201308045,CARIACICA,TUCUM,2
3201308046,CARIACICA,ITACIBA,0
3201308047,CARIACICA,NOVA BRASÍLIA,0
3201308048,CARIACICA,ORIENTE,2
3201308049,CARIACICA,ALTO LAGE,2
3201308050,CARIACICA,EXPEDITO,2
3201308051,CARIACICA,SOTEMA,2
3201308053,CARIACICA,ITAQUARI,2
3201308054,CARIACICA,RIO BRANCO,2
3201308055,CARIACICA,ITANGUA,2
3201308056,CARIACICA,DOM BOSCO,2
3201308057,CARIACICA,SANTA CECILIA,2
3201308058,CARIACICA,VILA CAJUEIRO,2
3201308059,CARIACICA,PICA PAU,2
3201308060,CARIACICA,PORTO DAS PEDRAS,2
3201308061,CARIACICA,NOVA ROSA DA PENHA,0
3201308062,CARIACICA,PORTO ENGENHO,2
3201308063,CARIACICA,NOVA CANAA,2
3201308064,CARIACICA,PORTO NOVO,2
3201308065,CARIACICA,PRESIDENTE MEDICE,2
3201308066,CARIACICA,FLEXAL I,2
3201308067,CARIACICA,RETIRO SAUDOSO,2
3201308068,CARIACICA,GRAUNA,2
3201308069,CARIACICA,APARECIDA,2
3201308070,CARIACICA,PORTO SANTANA,2
3201308071,CARIACICA,NOVA VALVERDE,2
3201308072,CARIACICA,BUBÚ,2
3201308073,CARIACICA,CAMPO VERDE,2
3201308074,CARIACICA,VILA PRUDÊNCIO,2
3201308075,CARIACICA,CANGAÍBA,2
3201308076,CARIACICA,PLANETA,2
3201308077,CARIACICA,SANTANA,0
3201308078,CARIACICA,TABAJARA,2
3201308079,CARIACICA,SANTO ANTÔNIO,2
3201308080,CARIACICA,NOVO HORIZONTE,2
3201308081,CARIACICA,SÃO GONÇALO,2
3201308082,CARIACICA,PIRANEMA,2
3201308084,CARIACICA,NOVO BRASIL,2
3201308085,CARIACICA,NOVA CAMPO GRANDE,2
3201308086,CARIACICA,VISTA DOURADA,2
3201308087,CARIACICA,MUCURI,2
3201308088,CARIACICA,VILA INDEPENDÊNCIA,2
3201308089,CARIACICA,FLEXAL II,2
3201308090,CARIACICA,SERRA DO ANIL,2
3201308091,CARIACICA,NOVA ESPERANÇA,2
3201308092,CARIACICA,OPERÁRIO,2
